page,route_header,source,destination,total_stations,intermediate_stations
528,81 Hatvan — Somoskőújfalu,Hatvan,Somoskőújfalu,2,[]
529,81 Hatvan — Somoskőújfalu,Hatvan,Somoskőújfalu,2,[]
530,81 Somoskőújfalu — Hatvan,Somoskőújfalu,Hatvan,2,[]
531,81 Somoskőújfalu — Hatvan,Somoskőújfalu,Hatvan,2,[]
532,82 Hatvan — Szolnok,Hatvan,Szolnok,2,[]
533,82 Hatvan — Szolnok,Hatvan,Szolnok,2,[]
534,82 Szolnok — Hatvan,Szolnok,Hatvan,2,[]
535,82 Szolnok — Hatvan,Szolnok,Hatvan,2,[]
537,85 Gyöngyös — Vámosgyörk[— Budapest],Gyöngyös,Budapest,3,['Vámosgyörk[']
537,85 Gyöngyös — Vámosgyörk[— Budapest],Gyöngyös,Budapest,3,['Vámosgyörk[']
538,86 Vámosgyörk — Újszász — Szolnok,Vámosgyörk,Szolnok,3,['Újszász']
539,86 Szolnok — Újszász — Vámosgyörk,Szolnok,Vámosgyörk,3,['Újszász']
542,87 Eger — Szilvásvárad,Eger,Szilvásvárad,2,[]
543,89 Tiszaújváros — Nyékládháza,Tiszaújváros,Nyékládháza,2,[]
543,89 Nyékládháza — Tiszaújváros,Nyékládháza,Tiszaújváros,2,[]
546,90 Hidasnémeti — Miskolc[— Budapest],Hidasnémeti,Budapest,3,['Miskolc[']
